"   Channel,  Energy(keV),   Counts"
"     543,     114.6278,        107"
"     544,     114.8465,        103"
"     545,     115.0652,         93"
"     546,     115.2839,        116"
"     547,     115.5026,        113"
"     548,     115.7214,         85"
"     549,     115.9401,        116"
"     550,     116.1588,         91"
"     551,     116.3775,         89"
"     552,     116.5962,        117"
"     553,     116.8149,        123"
"     554,     117.0337,        108"
"     555,     117.2524,         92"
"     556,     117.4711,        112"
"     557,     117.6898,        123"
"     558,     117.9085,        100"
"     559,     118.1272,        113"
"     560,     118.3460,         93"
"     561,     118.5647,        115"
"     562,     118.7834,        128"
"     563,     119.0021,        117"
"     564,     119.2208,        128"
"     565,     119.4395,         83"
"     566,     119.6582,        108"
"     567,     119.8770,        108"
"     568,     120.0957,        130"
"     569,     120.3144,        102"
"     570,     120.5331,        101"
"     571,     120.7518,        111"
"     572,     120.9705,         93"
"     573,     121.1893,        104"
"     574,     121.4080,        109"
"     575,     121.6267,        104"
"     576,     121.8454,        122"
"     577,     122.0641,        103"
"     578,     122.2828,        117"
"     579,     122.5016,        110"
"     580,     122.7203,        121"
"     581,     122.9390,        104"
"     582,     123.1577,        122"
"     583,     123.3764,         94"
"     584,     123.5951,        106"
"     585,     123.8138,         96"
"     586,     124.0326,         99"
"     587,     124.2513,        119"
"     588,     124.4700,        109"
"     589,     124.6887,        124"
"     590,     124.9074,        122"
"     591,     125.1261,        103"
"     592,     125.3449,         98"
"     593,     125.5636,         91"
"     594,     125.7823,        105"
"     595,     126.0010,         97"
"     596,     126.2197,        100"
"     597,     126.4384,         88"
"     598,     126.6572,        130"
"     599,     126.8759,         97"
"     600,     127.0946,         86"
"     601,     127.3133,        106"
"     602,     127.5320,         87"
"     603,     127.7507,        102"
"     604,     127.9694,        101"
"     605,     128.1882,         93"
"     606,     128.4069,        106"
"     607,     128.6256,        103"
"     608,     128.8443,         91"
"     609,     129.0630,         92"
"     610,     129.2817,        106"
"     611,     129.5005,        106"
"     612,     129.7192,        124"
"     613,     129.9379,        112"
"     614,     130.1566,        108"
"     615,     130.3753,        108"
"     616,     130.5940,        121"
"     617,     130.8128,        118"
"     618,     131.0315,         98"
"     619,     131.2502,        106"
"     620,     131.4689,        114"
"     621,     131.6876,        112"
"     622,     131.9063,         90"
"     623,     132.1250,        111"
"     624,     132.3438,         96"
"     625,     132.5625,        129"
"     626,     132.7812,         97"
"     627,     132.9999,         97"
"     628,     133.2186,        107"
"     629,     133.4373,        105"
"     630,     133.6561,        101"
"     631,     133.8748,        106"
"     632,     134.0935,         94"
"     633,     134.3122,        102"
"     634,     134.5309,         92"
"     635,     134.7496,        113"
"     636,     134.9684,        111"
"     637,     135.1871,        100"
"     638,     135.4058,        113"
"     639,     135.6245,        109"
"     640,     135.8432,        103"
"     641,     136.0619,         96"
"     642,     136.2806,        117"
"     643,     136.4994,        102"
"     644,     136.7181,        102"
"     645,     136.9368,        105"
"     646,     137.1555,         96"
"     647,     137.3742,         99"
"     648,     137.5929,        126"
"     649,     137.8117,        100"
"     650,     138.0304,        109"
"     651,     138.2491,        124"
"     652,     138.4678,        114"
"     653,     138.6865,        107"
"     654,     138.9052,        114"
"     655,     139.1240,        103"
