Channel,Energy,Counts
     410,      85.5386,         20
     411,      85.7573,         14
     412,      85.9760,         14
     413,      86.1947,         13
     414,      86.4134,         16
     415,      86.6322,         18
     416,      86.8509,         23
     417,      87.0696,         13
     418,      87.2883,         16
     419,      87.5070,         19
     420,      87.7257,         11
     421,      87.9445,         16
     422,      88.1632,         17
     423,      88.3819,         24
     424,      88.6006,         14
     425,      88.8193,         19
     426,      89.0380,         12
     427,      89.2567,         12
     428,      89.4755,         17
     429,      89.6942,         17
     430,      89.9129,         14
     431,      90.1316,         24
     432,      90.3503,         19
     433,      90.5690,         18
     434,      90.7878,         16
     435,      91.0065,         24
     436,      91.2252,         10
     437,      91.4439,         19
     438,      91.6626,         16
     439,      91.8813,         26
     440,      92.1001,         16
     441,      92.3188,         10
     442,      92.5375,         16
     443,      92.7562,         14
     444,      92.9749,         14
     445,      93.1936,         15
     446,      93.4123,         21
     447,      93.6311,         18
     448,      93.8498,         13
     449,      94.0685,         10
     450,      94.2872,         10
     451,      94.5059,         13
     452,      94.7246,         20
     453,      94.9434,         15
     454,      95.1621,         11
     455,      95.3808,         22
     456,      95.5995,         15
     457,      95.8182,         17
     458,      96.0369,         15
     459,      96.2557,         12
     460,      96.4744,         19
     461,      96.6931,         13
     462,      96.9118,         15
     463,      97.1305,         20
     464,      97.3492,         17
     465,      97.5679,         17
     466,      97.7867,         24
     467,      98.0054,          9
     468,      98.2241,         14
     469,      98.4428,         21
     470,      98.6615,         16
     471,      98.8802,         23
     472,      99.0990,         14
     473,      99.3177,         12
     474,      99.5364,         17
     475,      99.7551,         13
     476,      99.9738,         18
     477,     100.1925,         17
     478,     100.4113,         16
     479,     100.6300,         15
     480,     100.8487,         16
     481,     101.0674,         19
     482,     101.2861,         14
     483,     101.5048,         13
     484,     101.7235,         13
     485,     101.9423,         11
     486,     102.1610,         18
     487,     102.3797,         13
     488,     102.5984,         18
     489,     102.8171,         16
     490,     103.0358,         15
     491,     103.2546,         11
     492,     103.4733,          9
     493,     103.6920,         16
     494,     103.9107,         12
     495,     104.1294,         19
