Channel,Energy,Counts
       366,      75.9151,        569  
       367,      76.1338,        578  
       368,      76.3525,        773  
       369,      76.5712,        893  
       370,      76.7899,       1107  
       371,      77.0087,       1173  
       372,      77.2274,       1301  
       373,      77.4461,       1225  
       374,      77.6648,       1097  
       375,      77.8835,        913  
       376,      78.1022,        709  
       377,      78.3210,        635  
       378,      78.5397,        552  
       379,      78.7584,        573  
       380,      78.9771,        543  
       381,      79.1958,        617  
       382,      79.4145,        695  
       383,      79.6333,        690  
       384,      79.8520,        706  
       385,      80.0707,        712  
       386,      80.2894,        627  
       387,      80.5081,        548  
       388,      80.7268,        504  
       389,      80.9455,        461  
       390,      81.1643,        458  
       391,      81.3830,        449  
       392,      81.6017,        411  
       393,      81.8204,        423  
       394,      82.0391,        397  
       395,      82.2578,        413  
       396,      82.4766,        466  
       397,      82.6953,        433  
       398,      82.9140,        413  
       399,      83.1327,        470  
       400,      83.3514,        417  
       401,      83.5701,        452  
       402,      83.7889,        425  
       403,      84.0076,        420  
       404,      84.2263,        444  
       405,      84.4450,        415  
       406,      84.6637,        430  
       407,      84.8824,        410  
       408,      85.1011,        425  
       409,      85.3199,        460  
       410,      85.5386,        447  
       411,      85.7573,        444  
       412,      85.9760,        456  
       413,      86.1947,        407  
       414,      86.4134,        405  
       415,      86.6322,        449  
       416,      86.8509,        437  
       417,      87.0696,        442  
       418,      87.2883,        429  
       419,      87.5070,        407  
       420,      87.7257,        398  
       421,      87.9445,        394  
       422,      88.1632,        441  
       423,      88.3819,        425  
       424,      88.6006,        422  
       425,      88.8193,        419  
       426,      89.0380,        436  
       427,      89.2567,        431  
       428,      89.4755,        419  
       429,      89.6942,        446  
       430,      89.9129,        429  
       431,      90.1316,        432  
       432,      90.3503,        417  
       433,      90.5690,        426  
       434,      90.7878,        442  
       435,      91.0065,        443  
       436,      91.2252,        417  
       437,      91.4439,        416  
       438,      91.6626,        419  
       439,      91.8813,        442  
       440,      92.1001,        418  
       441,      92.3188,        438  
       442,      92.5375,        458  
       443,      92.7562,        481  
       444,      92.9749,        421  
       445,      93.1936,        430  
       446,      93.4123,        437  
       447,      93.6311,        405  
       448,      93.8498,        413  
       449,      94.0685,        447  
       450,      94.2872,        400  
       451,      94.5059,        439  
       452,      94.7246,        429  
       453,      94.9434,        446  
       454,      95.1621,        450  
       455,      95.3808,        425  
       456,      95.5995,        416  
       457,      95.8182,        418  
       458,      96.0369,        393  
       459,      96.2557,        424  
       460,      96.4744,        402  
       461,      96.6931,        412  
       462,      96.9118,        402  
       463,      97.1305,        422  
       464,      97.3492,        457  
       465,      97.5679,        444  
       466,      97.7867,        419  
       467,      98.0054,        460  
       468,      98.2241,        450  
       469,      98.4428,        422  
       470,      98.6615,        418  
       471,      98.8802,        422  
       472,      99.0990,        429  
       473,      99.3177,        456  
       474,      99.5364,        418  
       475,      99.7551,        429  
       476,      99.9738,        440  
       477,     100.1925,        443  
       478,     100.4113,        416  
       479,     100.6300,        407  
       480,     100.8487,        405  
       481,     101.0674,        417  
       482,     101.2861,        434  
       483,     101.5048,        431  
       484,     101.7235,        417  
       485,     101.9423,        449  
       486,     102.1610,        414  
       487,     102.3797,        415  
       488,     102.5984,        442  
       489,     102.8171,        406  
       490,     103.0358,        440  
