Channel,Energy,Counts
      477,     100.1925,         40 
      478,     100.4113,         50 
      479,     100.6300,         51 
      480,     100.8487,         46 
      481,     101.0674,         44 
      482,     101.2861,         45 
      483,     101.5048,         41 
      484,     101.7235,         45 
      485,     101.9423,         54 
      486,     102.1610,         53 
      487,     102.3797,         45 
      488,     102.5984,         38 
      489,     102.8171,         51 
      490,     103.0358,         36 
      491,     103.2546,         55 
      492,     103.4733,         45 
      493,     103.6920,         50 
      494,     103.9107,         51 
      495,     104.1294,         50 
      496,     104.3481,         42 
      497,     104.5669,         51 
      498,     104.7856,         37 
      499,     105.0043,         45 
      500,     105.2230,         49 
      501,     105.4417,         51 
      502,     105.6604,         49 
      503,     105.8792,         47 
      504,     106.0979,         52 
      505,     106.3166,         35 
      506,     106.5353,         53 
      507,     106.7540,         41 
      508,     106.9727,         42 
      509,     107.1914,         31 
      510,     107.4102,         63 
      511,     107.6289,         43 
      512,     107.8476,         46 
      513,     108.0663,         42 
      514,     108.2850,         41 
      515,     108.5037,         47 
      516,     108.7225,         44 
      517,     108.9412,         46 
      518,     109.1599,         49 
      519,     109.3786,         45 
      520,     109.5973,         48 
      521,     109.8160,         46 
      522,     110.0348,         47 
      523,     110.2535,         46 
      524,     110.4722,         52 
      525,     110.6909,         47 
      526,     110.9096,         54 
      527,     111.1283,         52 
      528,     111.3470,         42 
      529,     111.5658,         48 
      530,     111.7845,         44 
      531,     112.0032,         36 
      532,     112.2219,         35 
      533,     112.4406,         35 
      534,     112.6593,         55 
      535,     112.8781,         59 
      536,     113.0968,         55 
      537,     113.3155,         50 
      538,     113.5342,         58 
      539,     113.7529,         48 
      540,     113.9716,         53 
      541,     114.1904,         50 
      542,     114.4091,         41 
      543,     114.6278,         48 
      544,     114.8465,         45 
      545,     115.0652,         50 
      546,     115.2839,         49 
      547,     115.5026,         55 
      548,     115.7214,         52 
      549,     115.9401,         52 
      550,     116.1588,         46 
      551,     116.3775,         54 
      552,     116.5962,         50 
      553,     116.8149,         51 
      554,     117.0337,         46 
      555,     117.2524,         54 
      556,     117.4711,         34 
      557,     117.6898,         54 
      558,     117.9085,         37 
      559,     118.1272,         53 
      560,     118.3460,         40 
      561,     118.5647,         56 
      562,     118.7834,         53 
      563,     119.0021,         53 
      564,     119.2208,         44 
      565,     119.4395,         43 
      566,     119.6582,         51 
      567,     119.8770,         52 
      568,     120.0957,         44 
      569,     120.3144,         40 
      570,     120.5331,         50 
      571,     120.7518,         44 
      572,     120.9705,         48 
      573,     121.1893,         64 
      574,     121.4080,         48 
      575,     121.6267,         44 
      576,     121.8454,         48 
      577,     122.0641,         62 
      578,     122.2828,         58 
      579,     122.5016,         51 
      580,     122.7203,         50 
      581,     122.9390,         50 
      582,     123.1577,         52 
      583,     123.3764,         42 
      584,     123.5951,         58 
      585,     123.8138,         47 
      586,     124.0326,         43 
      587,     124.2513,         47 
      588,     124.4700,         35 
      589,     124.6887,         54 
      590,     124.9074,         48 
      591,     125.1261,         58 
      592,     125.3449,         63 
      593,     125.5636,         48 
      594,     125.7823,         46 
      595,     126.0010,         58 
      596,     126.2197,         50 
      597,     126.4384,         44 
      598,     126.6572,         34 
      599,     126.8759,         49 
      600,     127.0946,         47 
      601,     127.3133,         46 
      602,     127.5320,         44 
      603,     127.7507,         54 
      604,     127.9694,         43 
      605,     128.1882,         44 
      606,     128.4069,         41 
      607,     128.6256,         50 
      608,     128.8443,         54 
      609,     129.0630,         50 
      610,     129.2817,         48 
      611,     129.5005,         55 
      612,     129.7192,         52 
      613,     129.9379,         47 
      614,     130.1566,         55 
      615,     130.3753,         49 
      616,     130.5940,         50 
      617,     130.8128,         43 
      618,     131.0315,         45 
      619,     131.2502,         42 
      620,     131.4689,         37 
      621,     131.6876,         51 
      622,     131.9063,         51 
      623,     132.1250,         43 
      624,     132.3438,         47 
      625,     132.5625,         46 
      626,     132.7812,         47 
      627,     132.9999,         44 
      628,     133.2186,         47 
      629,     133.4373,         51 
      630,     133.6561,         46 
      631,     133.8748,         50 
      632,     134.0935,         40 
      633,     134.3122,         50 
      634,     134.5309,         51 
      635,     134.7496,         62 
      636,     134.9684,         42 
      637,     135.1871,         49 
      638,     135.4058,         57 
      639,     135.6245,         44 
      640,     135.8432,         53 
      641,     136.0619,         46 
      642,     136.2806,         47 
      643,     136.4994,         50 
      644,     136.7181,         44 
      645,     136.9368,         45 
      646,     137.1555,         54 
      647,     137.3742,         45 
      648,     137.5929,         39 
      649,     137.8117,         41 
      650,     138.0304,         44 
      651,     138.2491,         61 
      652,     138.4678,         52 
      653,     138.6865,         46 
      654,     138.9052,         50 
      655,     139.1240,         56 
      656,     139.3427,         49 
      657,     139.5614,         63 
      658,     139.7801,         38 
      659,     139.9988,         52 
      660,     140.2175,         41 
      661,     140.4362,         53 
      662,     140.6550,         45 
      663,     140.8737,         51 
      664,     141.0924,         43 
      665,     141.3111,         48 
      666,     141.5298,         50 
      667,     141.7485,         53 
      668,     141.9673,         40 
      669,     142.1860,         56 
      670,     142.4047,         38 
      671,     142.6234,         37 
      672,     142.8421,         51 
      673,     143.0608,         49 
      674,     143.2796,         46 
      675,     143.4983,         41 
      676,     143.7170,         52 
      677,     143.9357,         49 
      678,     144.1544,         45 
      679,     144.3731,         45 
      680,     144.5919,         48 
      681,     144.8106,         52 
      682,     145.0293,         48 
      683,     145.2480,         43 
      684,     145.4667,         48 
      685,     145.6854,         41 
      686,     145.9041,         46 
      687,     146.1229,         50 
      688,     146.3416,         49 
      689,     146.5603,         55 
      690,     146.7790,         37 
      691,     146.9977,         43 
      692,     147.2164,         40 
      693,     147.4352,         54 
      694,     147.6539,         40 
      695,     147.8726,         51 
      696,     148.0913,         49 
      697,     148.3100,         60 
      698,     148.5287,         51 
      699,     148.7475,         47 
      700,     148.9662,         44 
      701,     149.1849,         45 
      702,     149.4036,         34 
      703,     149.6223,         48 
      704,     149.8410,         43 
      705,     150.0597,         48 
      706,     150.2785,         39 
      707,     150.4972,         51 
      708,     150.7159,         47 
      709,     150.9346,         50 
      710,     151.1533,         45 
      711,     151.3720,         50 
      712,     151.5908,         48 
      713,     151.8095,         40 
      714,     152.0282,         50 
      715,     152.2469,         49 
      716,     152.4656,         50 
      717,     152.6843,         34 
      718,     152.9031,         50 
      719,     153.1218,         32 
      720,     153.3405,         36 
      721,     153.5592,         49 
      722,     153.7779,         52 
      723,     153.9966,         47 
      724,     154.2153,         57 
      725,     154.4341,         46 
      726,     154.6528,         43 
      727,     154.8715,         27 
      728,     155.0902,         47 
      729,     155.3089,         50 
      730,     155.5276,         43 
      731,     155.7464,         49 
      732,     155.9651,         40 
      733,     156.1838,         45 
      734,     156.4025,         54 
      735,     156.6212,         55 
      736,     156.8399,         39 
      737,     157.0587,         54 
      738,     157.2774,         48 
      739,     157.4961,         36 
      740,     157.7148,         47 
      741,     157.9335,         28 
      742,     158.1522,         41 
      743,     158.3709,         45 
      744,     158.5897,         59 
      745,     158.8084,         40 
      746,     159.0271,         48 
      747,     159.2458,         48 
      748,     159.4645,         31 
      749,     159.6832,         54 
      750,     159.9020,         43 
      751,     160.1207,         48 
      752,     160.3394,         50 
      753,     160.5581,         53 
      754,     160.7768,         56 
      755,     160.9955,         38 
      756,     161.2143,         39 
      757,     161.4330,         43 
      758,     161.6517,         49 
      759,     161.8704,         66 
      760,     162.0891,         43 
      761,     162.3078,         46 
      762,     162.5265,         60 
      763,     162.7453,         52 
      764,     162.9640,         51 
      765,     163.1827,         47 
      766,     163.4014,         48 
      767,     163.6201,         49 
      768,     163.8388,         40 
      769,     164.0576,         56 
      770,     164.2763,         40 
      771,     164.4950,         44 
      772,     164.7137,         48 
      773,     164.9324,         35 
      774,     165.1511,         44 
      775,     165.3699,         49 
      776,     165.5886,         53 
      777,     165.8073,         45 
      778,     166.0260,         51 
      779,     166.2447,         47 
      780,     166.4634,         33 
      781,     166.6821,         44 
      782,     166.9009,         48 
      783,     167.1196,         57 
      784,     167.3383,         46 
      785,     167.5570,         37 
      786,     167.7757,         48 
      787,     167.9944,         58 
