Channel,Energy,Counts
     361,      74.8215,         14
     362,      75.0402,         14
     363,      75.2589,         16
     364,      75.4777,          8
     365,      75.6964,         13
     366,      75.9151,         11
     367,      76.1338,         18
     368,      76.3525,         23
     369,      76.5712,         20
     370,      76.7899,         32
     371,      77.0087,         32
     372,      77.2274,         48
     373,      77.4461,         45
     374,      77.6648,         33
     375,      77.8835,         35
     376,      78.1022,         19
     377,      78.3210,         26
     378,      78.5397,         18
     379,      78.7584,          7
     380,      78.9771,         10
     381,      79.1958,         18
     382,      79.4145,         15
     383,      79.6333,         21
     384,      79.8520,         19
     385,      80.0707,         18
     386,      80.2894,         22
     387,      80.5081,         21
     388,      80.7268,         19
     389,      80.9455,         13
     390,      81.1643,         16
     391,      81.3830,         12
     392,      81.6017,         12
     393,      81.8204,          8
     394,      82.0391,         10
     395,      82.2578,         13
     396,      82.4766,         14
     397,      82.6953,          9
     398,      82.9140,         13
     399,      83.1327,          9
     400,      83.3514,         12
     401,      83.5701,         12
     402,      83.7889,         10
     403,      84.0076,         13
     404,      84.2263,         12
     405,      84.4450,         12
     406,      84.6637,         10
     407,      84.8824,          5
     408,      85.1011,         10
     409,      85.3199,         10
     410,      85.5386,         10
     411,      85.7573,          9
     412,      85.9760,          9
     413,      86.1947,         11
     414,      86.4134,          9
     415,      86.6322,         10
     416,      86.8509,          7
     417,      87.0696,         15
     418,      87.2883,          9
     419,      87.5070,          9
     420,      87.7257,         12
     421,      87.9445,         15
     422,      88.1632,         12
     423,      88.3819,         10
     424,      88.6006,         13
     425,      88.8193,         12
     426,      89.0380,         10
     427,      89.2567,          9
     428,      89.4755,         10
     429,      89.6942,          4
     430,      89.9129,          7
     431,      90.1316,         10
     432,      90.3503,         18
     433,      90.5690,          8
     434,      90.7878,         13
     435,      91.0065,          7
     436,      91.2252,         14
     437,      91.4439,          9
     438,      91.6626,         12
     439,      91.8813,          8
     440,      92.1001,         14
     441,      92.3188,          8
     442,      92.5375,          9
     443,      92.7562,         12
     444,      92.9749,          5
     445,      93.1936,         12
     446,      93.4123,          7
     447,      93.6311,          7
     448,      93.8498,          8
     449,      94.0685,         14
